Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
"109,111,900,634,787.00 ",Reverend Raphael Warnock,WARNOCK FOR GEORGIA,129961,352
"110,018,833,813,683.00 ",Defend the Senate,SMP,53155,34
"103,945,768,988,283.00 ",ObamacarePlans.com,Obamacareplans,26487,41
"106,244,251,043,808.00 ",America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",20263,128
"6,500,552,187.00 ",Hulu,"HULU, LLC",18215,2
"18,982,436,812.00 ",ACLU,American Civil Liberties Union,12498,101
"172,758,932,738,142.00 ",PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,11767,76
"24,330,467,048.00 ",Americans for Prosperity,AMERICANS FOR PROSPERITY,11317,127
"103,552,914,774,916.00 ",Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",11154,15
"108,774,614,054,683.00 ",American Edge Project,American Edge,11046,30
"192,448,150,001.00 ",Jeff Anderson & Associates,Jeffrey R Anderson PA,10694,90
"113,891,694,102.00 ",Energy Citizens,AMERICAN PETROLEUM INSTITUTE,10408,870
"385,473,284,886,474.00 ",Hillsdale College,Hillsdale College,9092,95
"7,030,901,126.00 ",Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,8899,69
"222,964,858,017.00 ",UNDO,California Tobacco Control Program,8626,2
"897,994,503,631,860.00 ",HealthInsurance.net,ASSURANCE IQ INC,8421,93
"76,470,053,424.00 ",TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,8264,17
"1,155,212,867,963,790.00 ",AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",8148,8
"57,259,033,959.00 ",AARP,AARP,7260,110
"1,461,100,540,775,170.00 ",The Tuttle Twins,LIBERTAS INSTITUTE,6839,66
"107,005,161,695,319.00 ",Herschel Walker,"TEAM HERSCHEL, INC.",6644,37
"121,268,821,249,550.00 ",World Central Kitchen,World Central Kitchen,6354,33
"43,426,724,597.00 ",Paper Culture,Paper Culture LLC,6117,5
"109,123,378,562,348.00 ",Georgia Honor,GEORGIA HONOR,6025,11
"92,925,746,942.00 ",Judicial Watch,Judicial Watch,5971,164
"106,178,071,176,467.00 ",Connect The Future,Connect the Future,5899,72
"114,167,895,375,664.00 ",Cherokee Nation,Cherokee Nation,5869,21
"110,168,638,150,374.00 ",Life Health For Free,These ads ran without a disclaimer,5689,15
"12,375,354,406.00 ",USO,United Service Organizations,5427,129
"20,787,991,568.00 ",Senate Democrats,DSCC,5390,41
"925,007,000,949,719.00 ",ExxonMobil,EXXON MOBIL CORPORATION,5374,12
"40,217,893,542.00 ",AIPAC,AIPAC,5314,132
"12,301,006,942.00 ",Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,5025,276
"18,709,174,006.00 ",National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",4988,199
"127,225,910,653,607.00 ",PragerU,PragerU,4744,171
"92,021,268,117.00 ",Working America,Working America,4695,40
"203,197,030,603,239.00 ",8 Billion Trees,8 Billion Trees LLC,4554,19
"200,969,413,280,005.00 ",Shell,Shell,4397,4
"104,224,114,671,958.00 ",Energy For Progress,THE AMERICAN PETROLEUM INSTITUTE,4349,85
"570,092,813,023,833.00 ",Matt Walsh,The Daily Wire,4323,26
"121,626,482,110.00 ",Operation Smile,OPERATION SMILE,4159,88
"110,799,871,814,504.00 ",Health PLUS,Health Plus Official,4086,36
"166,618,413,413,767.00 ",Jay Sekulow,American Center for Law and Justice,4077,67
"150,454,645,013,752.00 ",Colorado Secretary of State's Office,Colorado Department of State,3996,4
"309,308,412,520,731.00 ",Sandy Hook Promise,Sandy Hook Promise,3787,19
"260,754,507,296,508.00 ",The Voter Participation Center,Voter Participation Center,3778,6
"49,651,563,727.00 ",Live Action,Live Action,3721,199
"101,898,606,040,307.00 ",Health-USA,HealthUSA Org,3579,38
"314,499,212,242.00 ",Pfizer,Pfizer Inc.,3578,33
"1,958,912,674,200,530.00 ",The Pour Over,Pour Over,3550,7
"6,204,742,571.00 ",Sierra Club,SIERRA CLUB,3538,35
"22,067,606,728.00 ",Allen West,The Association of Mature American Citizens Inc,3502,32
"8,492,293,163.00 ",Environmental Defense Fund,Environmental Defense Fund,3448,153
"106,166,677,785,090.00 ",Pelican Action,Pelican Action,3447,5
"100,684,991,996,307.00 ",November Coalition,NOVEMBER COALITION,3383,3
"13,885,075,114.00 ",Action Against Hunger USA,ACTION AGAINST HUNGER - USA,3380,137
"187,005,858,017,014.00 ",Climate Power,Climate Power,3374,42
"104,973,821,688,428.00 ",American Accountability Foundation,American Accountability Foundation,3267,3
"206,226,362,732,803.00 ",Inspire Clean Energy,"Inspire Energy Holdings, LLC",3168,29
"1,145,019,702,185,000.00 ",Alliance for Safety and Justice,Alliance for Safety and Justice,3135,48
"342,294,162,453,301.00 ",Planned Parenthood,Planned Parenthood Federation of America,3130,233
"85,452,072,376.00 ",NEWSMAX,"NEWSMAX MEDIA, INC.",2964,63
"166,833,599,370.00 ",USCCA,USCCA,2802,25
"6,041,057,841.00 ",The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",2796,191
"201,470,373,308,396.00 ",BMO US,BMO Harris Bank,2780,6
"1,376,465,702,586,890.00 ",Coloradans for Responsible Energy Development,Coloradans for Responsible Energy Development,2335,32
"8,473,889,271.00 ",National Parks Conservation Association,National Parks Conservation Association,2289,2
"107,153,355,166,646.00 ",The Protein PACT,NORTH AMERICAN MEAT INSTITUTE,2278,6
"296,295,018,082.00 ",AARP en Español,AARP,2273,43
"127,504,090,616,454.00 ",NC WARN,NC WARN,2227,9
"475,456,956,305,422.00 ",All Voting Is Local,All Voting is Local,2180,3
"431,891,506,856,669.00 ",Dove,Unilever,2174,3
