Page ID,Page name,Disclaimer,Amount spent (USD)
1958912674200535,The Pour Over,Pour Over,≤100
107153355166646,The Protein PACT,NORTH AMERICAN MEAT INSTITUTE,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,≤100
222778077862868,Crime Survivors for Safety and Justice,Alliance for Safety and Justice,≤100
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
8325302025,Friends of the Earth U.S.,Friends of the Earth,≤100
206238602739505,Taxpayers Protection Alliance,Taxpayers Protection Alliance,≤100
40217893542,AIPAC,AIPAC,≤100
6500552187,Hulu,"HULU, LLC",≤100
107192055276617,Obsessed Gaming,These ads ran without a disclaimer,≤100
101724402501687,Megumi愛.,These ads ran without a disclaimer,≤100
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",≤100
314499212242,Pfizer,Pfizer Inc.,≤100
6204742571,Sierra Club,SIERRA CLUB,≤100
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
166618413413767,Jay Sekulow,American Center for Law and Justice,≤100
80060992758,Center for Food Safety,"CENTER FOR FOOD SAFETY, THE",≤100
60261764250,Childhelp,"CHILDHELP, INC.",≤100
376776419037747,Turning Point USA,"Turning Point USA, Inc.",≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
100913694925880,"Akalan Law Firm, PLLC","Akalan Law Firm, PLLC",≤100
35715544220,Stand.earth,Stand.earth,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
127225910653607,PragerU,PragerU,≤100
130234313704399,United We Dream,UNITED WE DREAM NETWORK INC,≤100
129914120385683,Families USA,Families USA,≤100
108268161352786,Stanley M. Herzog Foundation,Herzog Foundation,≤100
117437204982602,American Wild Horse Campaign,American Wild Horse Preservation Campaign,≤100
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,≤100
250937275581234,Problk Health,Problk Health LLC,≤100
342887442508723,Convention of States,Convention of States Action,≤100
1571132936490223,JewBelong,JEWBELONG INC.,≤100
72092591211,FBI – Federal Bureau of Investigation,Federal Bureau of Investigation,≤100
109637125764343,Population Connection,Population Connection,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
101573561281902,Citizen Raja,These ads ran without a disclaimer,≤100
21242962092,ClientEarth,CLIENTEARTH USA INC,≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
679171239164792,Supermajority,Supermajority,≤100
142432192446984,David Horowitz Freedom Center,David Horowitz Freedom Center,≤100
104377641671195,Salem Podcast Network,Salem Media,≤100
246323280108,American Medical Association,American Medical Association,≤100
57259033959,AARP,AARP,≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
12375354406,USO,United Service Organizations,≤100
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",≤100
101400032438085,The A-Mark Foundation,A MARK FOUNDATION,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
102064134602267,JHU Smartphone Pain Study,Johns Hopkins Bloomberg School of Public Health,≤100
101280379140925,Sunny Isles Conservatives,Safe Streets Miami,≤100
602074469965571,Plan C,NATIONAL WOMENS HEALTH NETWORK,≤100
291141624664794,Bright Body,Bright Body,≤100
187850809456,PSEA - PA State Education Association,PENNSYLVANIA STATE EDUCATION ASSOCIATION,≤100
19219803864,Tax Foundation,Tax Foundation,≤100
221890358218748,Til Valhalla Project,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,Bill Gates,≤100
100928241585558,National Jewish Advocacy Center,"NATIONAL JEWISH ADVOCACY CENTER, INC.",≤100
182620315479,Plan International USA,Plan International USA,≤100
64974200999,America-Israel Friendship League,AMERICA-ISRAEL FRIENDSHIP LEAGUE,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
9538894955,John F. Kennedy Presidential Library and Museum,"John Fitzgerald Kennedy Library Foundation, Inc.",≤100
111994897803195,What's Good,RARE,≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
206360852734005,New Mexico Wilderness Alliance,These ads ran without a disclaimer,≤100
108025821819737,Thorn for Parents,Thorn,≤100
49651563727,Live Action,Live Action,≤100
494259170754224,Keeping IDentities Safe,KEEPING IDENTITIES SAFE,≤100
1450419611843805,Thatcher Coalition,Thatcher Coalition,≤100
160389977329803,ATTN:,ATTN: INC.,≤100
160630887998827,Let Them Live,Nathan Montgomery Berning,≤100
121626482110,Operation Smile,OPERATION SMILE,≤100
424443217623488,Clarion Project,"CLARION PROJECT, INC.",≤100
431019887282794,Tomorrow's World Today,Flying Cork,≤100
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,≤100
542678889114683,The Coca-Cola Company,The Coca-Cola Company,≤100
1376465702586897,Coloradans for Responsible Energy Development,Coloradans for Responsible Energy Development,≤100
5435784683,Greenpeace USA,"GREENPEACE, INC.",≤100
570092813023833,Matt Walsh,The Daily Wire,≤100
99050726344,Phillips Theological Seminary,PHILLIPS THEOLOGICAL SEMINARY,≤100
102204903345,The Vilcek Foundation,"VILCEK FOUNDATION, INC., THE",≤100
100145644726687,Opportunity For All Floridians,Opportunity For All Floridians,≤100
10498053716,Media Research Center,MEDIA RESEARCH CENTER,≤100
158505287559920,Save the Storks,Save the Storks,≤100
100983515068287,"Justice For Greenwood Foundation, Inc.",Justice for Greenwood Foundation Inc,≤100
25852730092,Care2,"Care2.com, Inc",≤100
59797458205,The Jimmie Hale Mission,JIMMIE HALE MISSION,≤100
626360157451628,Chef Javad Javadi,These ads ran without a disclaimer,≤100
