Page ID,Page name,Disclaimer,Amount spent (USD)
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,602
110018833813683,Defend the Senate,SMP,292
687089684739095,Vermont Gas Systems,VERMONT GAS SYSTEMS INC,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
121268821249550,World Central Kitchen,World Central Kitchen,≤100
6500552187,Hulu,"HULU, LLC",≤100
43426724597,Paper Culture,Paper Culture LLC,≤100
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",≤100
20787991568,Senate Democrats,DSCC,≤100
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",≤100
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,≤100
57259033959,AARP,AARP,≤100
203197030603239,8 Billion Trees,8 Billion Trees LLC,≤100
100684991996307,November Coalition,NOVEMBER COALITION,≤100
385473284886474,Hillsdale College,Hillsdale College,≤100
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
50982313030,Food & Water Watch,Food & Water Watch,≤100
12375354406,USO,United Service Organizations,≤100
58433611572,Seventh Generation,SEVENTH GENERATION INC,≤100
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,≤100
6204742571,Sierra Club,SIERRA CLUB,≤100
121626482110,Operation Smile,OPERATION SMILE,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
30708742052,FCTRY,FCTRY,≤100
314499212242,Pfizer,Pfizer Inc.,≤100
40217893542,AIPAC,AIPAC,≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
570092813023833,Matt Walsh,The Daily Wire,≤100
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,≤100
49651563727,Live Action,Live Action,≤100
8325302025,Friends of the Earth U.S.,Friends of the Earth,≤100
8473889271,National Parks Conservation Association,National Parks Conservation Association,≤100
100373975829221,Fòs Feminista Org,Fòs Feminista,≤100
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",≤100
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",≤100
443329669123990,USAFacts,USAFacts Institute,≤100
216311481960,Bill Gates,Bill Gates,≤100
5861903849,USA for UNFPA,FRIENDS OF UNFPA INC,≤100
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
105791402802932,Democratic Party of Georgia,Democratic Party of Georgia,≤100
130945114804,World Jewish Congress,ATTN: INC.,≤100
166618413413767,Jay Sekulow,American Center for Law and Justice,≤100
