Page ID,Page name,Disclaimer,Amount spent (USD)
104973821688428,American Accountability Foundation,American Accountability Foundation,3267
77278490877,National Corn Growers Association,NATIONAL CORN GROWERS ASSOCIATION INC,1808
108159204713418,DoorDash Impact,"DOORDASH, INC.",1456
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,1148
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,755
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,700
101432317199,Blue Cross and Blue Shield Association,BLUE CROSS AND BLUE SHIELD ASSOCIATION,502
1725148701106705,AmeriHealth Caritas District of Columbia,ROIG Communications,364
100712889249331,Health Equity Coalition for Chronic Disease,Health Equity Coalition for Chronic Disease,301
114167895375664,Cherokee Nation,Cherokee Nation,288
37187635660,"The GEO Group, Inc.","The GEO Group, Inc.",231
788559044606908,America Forward,NEW PROFIT INC,200
152759126824,Enbridge,Enbridge Inc.,177
110018833813683,Defend the Senate,SMP,170
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,164
110411398584,NRECA,National Rural Electric Cooperative Association,161
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,147
103945768988283,ObamacarePlans.com,Obamacareplans,143
104373526741700,Save Our Air Medical Resources,Save Our Air Medical Resources,131
341319305971614,Colorado Mountain Mamas,Mountain Mamas,119
6500552187,Hulu,"HULU, LLC",119
110420685199238,WeVision EarlyEd,Bainum Family Foundation,114
491362440908122,The Beer Institute,BEER INSTITUTE,110
185886644779524,Public Service Commission of the District of Columbia,Public Service Commission of the District of Columbia,102
22092775577,Michelle Obama,Live Nation Concerts,102
101573474533442,Chronic Care Policy Alliance,The Chronic Care Policy Alliance,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
417709355647,The Lynde and Harry Bradley Foundation,"LYNDE AND HARRY BRADLEY FOUNDATION, INC., THE",≤100
2327301180622480,Voices for Non-Opioid Choices,Voices for Non-Opioid Choices,≤100
106178071176467,Connect The Future,Connect the Future,≤100
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
18982436812,ACLU,American Civil Liberties Union,≤100
273291699437680,Continental Divide Trail Coalition,CONTINENTAL DIVIDE TRAIL COALITION,≤100
1163396097051646,PILMA,Pharmaceutical Industry Labor Management Association,≤100
72092591211,FBI – Federal Bureau of Investigation,Federal Bureau of Investigation,≤100
110168638150374,Life Health For Free,These ads ran without a disclaimer,≤100
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,≤100
56431624743,Ceres,Ceres,≤100
121268821249550,World Central Kitchen,World Central Kitchen,≤100
43426724597,Paper Culture,Paper Culture LLC,≤100
358113240871900,Nuclear Energy Institute,"NUCLEAR ENERGY INSTITUTE, INC.",≤100
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,≤100
205671813294,Mountain View Solar,"MOUNTAIN VIEW SOLAR AND WIND, LLC",≤100
20787991568,Senate Democrats,DSCC,≤100
138912859468156,Vet Voice Foundation,Vet Voice Foundation,≤100
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,≤100
153678684700451,American Investment Council,AMERICAN INVESTMENT COUNCIL,≤100
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",≤100
802271849850801,Freedom for All Americans,Freedom for All Americans,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
101803615972593,Innovation Race,"TEA PARTY PATRIOTS ACTION, INC.",≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
130848666099,Business Forward,Business Forward Inc.,≤100
100327808877842,5Gfor12GHz Coalition,5G for 12 GHz Coalition,≤100
286224862049910,Salim Adofo,Salim Kwabena Thandiwe Adofo,≤100
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,≤100
123397377677195,"School of International Service, AU","School of International Service, American University",≤100
206238602739505,Taxpayers Protection Alliance,Taxpayers Protection Alliance,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
192738164073627,A Better Balance,A Better Balance,≤100
57259033959,AARP,AARP,≤100
159960044025031,American Heritage Magazine,American Heritage Publishing,≤100
186291828074120,Drexel University,Drexel University,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
127225910653607,PragerU,PragerU,≤100
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",≤100
100373975829221,Fòs Feminista Org,Fòs Feminista,≤100
260244824449371,Consumers for Quality Care,Consumers 4 Quality Care,≤100
8047221596,Save the Children US,SAVE THE CHILDREN FEDERATION INC.,≤100
223790528808,Trilogy Interactive,TRILOGY INTERACTIVE LLC,≤100
121626482110,Operation Smile,OPERATION SMILE,≤100
131023707236064,Applecart,Project Applecart LLC,≤100
100684991996307,November Coalition,NOVEMBER COALITION,≤100
30708742052,FCTRY,FCTRY,≤100
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",≤100
1431889706937050,Free & Fair Markets Initiative,"Free and Fair Markets Initiative, Inc.",≤100
84645912778,Prosperity Now,PROSPERITY NOW,≤100
198875903295,Trek Bicycle,TREK BICYCLE CORPORATION,≤100
29717379728,International Justice Mission,International Justice Mission,≤100
130234313704399,United We Dream,UNITED WE DREAM NETWORK INC,≤100
8473889271,National Parks Conservation Association,National Parks Conservation Association,≤100
34362997676,United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,≤100
100417168386329,Heal America,Stand Together Chamber of Commerce Inc.,≤100
314499212242,Pfizer,Pfizer Inc.,≤100
110480728196620,Small Business Digital Alliance,Small Business Digital Alliance,≤100
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",≤100
105561217523274,The Dispatch,"Dispatch Media, Inc.",≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
159658557547960,Wall Street Journal Opinion,The Wall Street Journal,≤100
246323280108,American Medical Association,American Medical Association,≤100
925007000949719,ExxonMobil,EXXON MOBIL CORPORATION,≤100
182620315479,Plan International USA,Plan International USA,≤100
129240690441636,The Legal Defense Fund,"N. A. A. C. P. LEGAL DEFENSE AND EDUCATIONAL FUND, INC.",≤100
1679521432262834,Physicians Grassroots Network,American Medical Association,≤100
323083351064533,The News Literacy Project,The News Literacy Project,≤100
222778077862868,Crime Survivors for Safety and Justice,Alliance for Safety and Justice,≤100
203197030603239,8 Billion Trees,8 Billion Trees LLC,≤100
12375354406,USO,United Service Organizations,≤100
224110651893,International African American Museum,IAAM,≤100
707842972692825,IAMJetBlue,James A. Carlson,≤100
183792172090826,Northern Virginia Clean Water Partners,Northern Virginia Regional Commission,≤100
303374266418976,AFPM,American Fuel & Petrochemical Manufacturers,≤100
